id	name	province	district	division	location	sub_location	level	agency	latitude	longitude	email	emergency_number_one	emergency_number_two
35	GALANA HOSPITAL	COAST	MALINDI	MALINDI	MALINDI	SABAKI	1	MISS	-3.197483	40.116335	cgalanahospital@healthcare.com	0793725455	0747376596
36	GARASHI DISP	COAST	MALINDI	MARAFA	GARASHI	MIKUYUNI(MALINDI)	4	MOH	-3.13094	39.891178	cgarashidisp@healthcare.com	0796554254	0798937503
37	GEDE DISP	COAST	MALINDI	MALINDI	WATAMU	CHEMBE KIBABA MUCHE	4	MOH	-3.284649	40.050652	cgededisp@healthcare.com	0750093493	0757382733
38	GONGONI DISP	COAST	MALINDI	MAGARINI	GONGONI	GONGONI	4	MOH	-3.03614	40.133381	cgongonidisp@healthcare.com	0739401653	0773779702
39	JILORE HEALTH CENTRE	COAST	MALINDI	MALINDI	JILORE	JILORE/ZIAN	3	MOH	-3.18922	39.905842	cjilorehealthcentre@healthcare.com	0759511692	0716999231
40	KAKONENI DISP	COAST	MALINDI	MALINDI	JILORE	KAKONENI	4	MOH	-3.16443	39.86591	ckakonenidisp@healthcare.com	0759641684	0734065955
41	KAKUYUNI DISP	COAST	MALINDI	MALINDI	GOSHI	KAKUYUNI(MALINDI)	4	MOH	-3.22065	40.001911	ckakuyunidisp@healthcare.com	0799257702	0740913040
42	MALANGA SDA DISPENSARY	COAST	MALINDI	MALINDI	LANGOBAYA	MALANGA(MALINDI)	4	MISS	-3.257113	39.792298	cmalangasdadispensary@healthcare.com	0724750817	0700241170
43	MALINDI DISTRICT HOSPITAL	COAST	MALINDI	MALINDI	MALINDI	BARANI	1	MOH	-3.2165	40.1182	cmalindidistricthospital@healthcare.com	0761933153	0777557428
44	MAMBRUI DISP	COAST	MALINDI	MAGARINI	MAGARINI	MAMBRUI	4	MOH	-3.11815	40.136879	cmambruidisp@healthcare.com	0762384163	0774328021
45	MARAFA HEALTH CENTRE (MAGARINI)	COAST	MALINDI	MARAFA	MARAFA	MADINA	3	MOH	-3.02833	39.959728	cmarafahealthcentre(magarini)@healthcare.com	0720331323	0751475441
46	MARERENI DISP	COAST	MALINDI	MAGARINI	FUNDISA	MARERENI	4	MOH	-2.863	40.144611	cmarerenidisp@healthcare.com	0709052937	0703983706
47	MARIKEBUNI DISP	COAST	MALINDI	MAGARINI	MAGARINI	MARIKEBUNI	4	MOH	-3.09027	40.112049	cmarikebunidisp@healthcare.com	0771386500	0744713850
48	MERE SDA DISP	COAST	MALINDI	MALINDI	GOSHI	MALIMO	4	MISS	-3.195264	40.031232	cmeresdadisp@healthcare.com	0783464967	0759681789
49	MIDZIJINI DISP	COAST	MALINDI	MARAFA	ADU	RAMADA	4	MISS	-2.702209	40.037835	cmidzijinidisp@healthcare.com	0754091435	0728433938
50	MUNICIPAL HEALTH CENTRE	COAST	MALINDI	MALINDI	MALINDI	SHELLA(MALINDI)	3	LA	-3.232732	40.114903	cmunicipalhealthcentre@healthcare.com	0706589189	0786608504
51	NEEMA MEDICAL DISP	COAST	MALINDI	MAGARINI	FUNDISA	FUNDISA	4	MISS	-2.963256	40.140365	cneemamedicaldisp@healthcare.com	0783667882	0730384119
52	NGOMENI DISP	COAST	MALINDI	MAGARINI	GONGONI	NGOMENI	4	MOH	-3.01	40.18	cngomenidisp@healthcare.com	0708194895	0725283556
53	SOSONI DISP	COAST	MALINDI	MARAFA	BUNGALE	DAKACHA	4	MOH	-3.02801	39.822899	csosonidisp@healthcare.com	0787847244	0725126493
54	TAWFIQ MUSLIM HOSPITAL	COAST	MALINDI	MALINDI	MALINDI	SHELLA(MALINDI)	1	MISS	-3.220937	40.112698	ctawfiqmuslimhospital@healthcare.com	0778606481	0718235960
55	TAWHEED MUSLIM DISP	COAST	MALINDI	MALINDI	MALINDI	BARANI	4	MISS	-3.216853	40.114882	ctawheedmuslimdisp@healthcare.com	0739320192	0782745497
56	WATAMU SDA DISP	COAST	MALINDI	MALINDI	WATAMU	WATAMU	4	MISS	-3.35175	40.01693	cwatamusdadisp@healthcare.com	0782692693	0768367446
57	ALMS HOUSE DISP	COAST	MOMBASA	ISLAND	TONONOKA	TONONOKA	4	LA	-4.041251	39.663987	calmshousedisp@healthcare.com	0790015838	0736805381
58	ANNEXE DISP	COAST	MOMBASA	KISAUNI	KISAUNI	KISAUNI	4	MOH	-4.005339	39.714984	cannexedisp@healthcare.com	0771476779	0742314283
59	BAMBURI DISP	COAST	MOMBASA	KISAUNI	BAMBURI	BAMBURI	4	LA	-3.973318	39.707035	cbamburidisp@healthcare.com	0761954337	0794989941
60	CHAANI DISP	COAST	MOMBASA	CHANGAMWE	CHANGAMWE	CHANGAMWE	4	LA	-4.016913	39.61943	cchaanidisp@healthcare.com	0733823706	0718879945
61	COAST PROVINCIAL GENERAL HOSP.	COAST	MOMBASA	ISLAND	OLD TOWN	OLD T.(MAKADARA WARD	2	MOH	-4.059355	39.677362	ccoastprovincialgeneralhosp.@healthcare.com	0790376371	0735391077
62	CRESCENT MEDICAL AID DISP	COAST	MOMBASA	LIKONI	LIKONI	TIMBWANI	4	MISS	-4.100958	39.644637	ccrescentmedicalaiddisp@healthcare.com	0787858596	0738475343
63	ELIZA MEDICAL RENT DISP	COAST	MOMBASA	ISLAND	MAJENGO	MWEMBE TAYARI	4	MISS	-4.056412	39.665141	celizamedicalrentdisp@healthcare.com	0747395721	0709863153
64	GANJONI (CDC) DISP	COAST	MOMBASA	ISLAND	GANJONI	GANJONI	4	LA	-4.065307	39.658767	cganjoni(cdc)disp@healthcare.com	0738334868	0779802539
65	HOLY GHOST CATHEDRAL DISP	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	4	MISS	-4.064671	39.680918	cholyghostcathedraldisp@healthcare.com	0768566774	0723091057
66	JOMVU KUU HEALTH CENTRE	COAST	MOMBASA	CHANGAMWE	MIRITINI	JOMVU KUU	3	LA	-3.987726	39.598962	cjomvukuuhealthcentre@healthcare.com	0724152314	0760396303
67	JOMVU REFUGEE CAMP	COAST	MOMBASA	CHANGAMWE	MIRITINI	JOMVU KUU	4	NGO	-3.990976	39.596276	cjomvurefugeecamp@healthcare.com	0725839174	0714707036
68	KILINDINI PORT DISP	COAST	MOMBASA	LIKONI	LIKONI	BOFU(MOMBASA)	4	MOH	-4.08	39.65	ckilindiniportdisp@healthcare.com	0759487413	0759052772
69	KISAUNI DISP	COAST	MOMBASA	KISAUNI	KONGOWEA	MAWENI	4	MOH	-4.030596	39.692579	ckisaunidisp@healthcare.com	0724031574	0742423202
70	KONGOWEA HEALTH CENTRE	COAST	MOMBASA	KISAUNI	KONGOWEA	KONGOWEA	3	MOH	-4.041348	39.684077	ckongoweahealthcentre@healthcare.com	0775216700	0791895253
71	KONGOWEA MED DISP	COAST	MOMBASA	KISAUNI	KONGOWEA	KONGOWEA	4	MISS	-4.039701	39.68	ckongoweameddisp@healthcare.com	0775152582	0730023751
72	KWA JOMVU HEALTH CENTRE	COAST	MOMBASA	CHANGAMWE	PORT REITZ	PORT REITZ	3	LA	-4.04	39.6	ckwajomvuhealthcentre@healthcare.com	0794977011	0736435943
73	LIKONI HEALTH CENTRE	COAST	MOMBASA	LIKONI	LIKONI	TIMBWANI	3	MOH	-4.085214	39.655484	clikonihealthcentre@healthcare.com	0726899009	0796296722
74	LIKONI MISSION DISP	COAST	MOMBASA	LIKONI	SHIKA ADABU	VIJIWENI	4	MISS	-4.111836	39.644641	clikonimissiondisp@healthcare.com	0715614862	0706383454
75	MAGONGO HEALTH CENTRE	COAST	MOMBASA	CHANGAMWE	KIPEVU	KIPEVU	3	LA	-4.0352	39.63	cmagongohealthcentre@healthcare.com	0785051506	0743505336
76	MAJENGO DISP	COAST	MOMBASA	ISLAND	TUDOR	TUDOR FOUR	4	LA	-4.031532	39.66667	cmajengodisp@healthcare.com	0796044236	0796326845
77	MAJENGO MCH/FP CLINIC	COAST	MOMBASA	ISLAND	MAJENGO	MAJENGO(MOMBASA)	4	NGO	-4.058393	39.663509	cmajengomch/fpclinic@healthcare.com	0791160100	0738541893
78	MAKUPA HEALTH CENTRE	COAST	MOMBASA	ISLAND	TUDOR	TUDOR	3	LA	-4.03153	39.655225	cmakupahealthcentre@healthcare.com	0715583543	0772316471
79	MAKUPA MCH/FP CLINIC	COAST	MOMBASA	ISLAND	MAJENGO	MAJENGO(MOMBASA)	4	NGO	-4.045181	39.660636	cmakupamch/fpclinic@healthcare.com	0759074113	0731023629
80	MIKINDANI MISSION DISP	COAST	MOMBASA	CHANGAMWE	MIKINDANI	BIRIKANI	4	MISS	-4.029325	39.648458	cmikindanimissiondisp@healthcare.com	0724416648	0709592824
81	MIRITINI DISP	COAST	MOMBASA	CHANGAMWE	MIRITINI	MIRITINI	4	LA	-4.010761	39.58529	cmiritinidisp@healthcare.com	0769041882	0792643051
82	MKOMANI HARAMBEE DISP	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	4	NGO	-4.063657	39.674068	cmkomaniharambeedisp@healthcare.com	0739470587	0720430894
83	MOW SHIMANZI DISP	COAST	MOMBASA	ISLAND	RAILWAY	SHIMANZI	4	LA	-4.045337	39.651523	cmowshimanzidisp@healthcare.com	0794117771	0736251066
84	MTONGWE DISP	COAST	MOMBASA	LIKONI	MTONGWE	MTONGWE	4	MISS	-4.068683	39.641934	cmtongwedisp@healthcare.com	0711086967	0766726591
85	MTONGWE HEALTH CENTRE	COAST	MOMBASA	LIKONI	MTONGWE	MTONGWE	3	MOH	-4.081243	39.639063	cmtongwehealthcentre@healthcare.com	0738611573	0744417725
86	MVITA DISP (MOMBASA)	COAST	MOMBASA	ISLAND	TONONOKA	BONDENI(MOMBASA)	4	LA	-4.05	39.67	cmvitadisp(mombasa)@healthcare.com	0704561025	0777322945
87	MWAKIRUGE DISP	COAST	MOMBASA	KISAUNI	BAMBURI	MWAKIRUNGE	4	LA	-3.960939	39.685962	cmwakirugedisp@healthcare.com	0795755695	0751383611
88	MWEMBE TAYARI SUB HEALTH CENTRE	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	3	LA	-4.064651	39.672694	cmwembetayarisubhealthcentre@healthcare.com	0768920165	0748239173
89	NGOMEN DISP	COAST	MOMBASA	ISLAND	MAJENGO	MWEMBE TAYARI	4	MOH	-4.06	39.67	cngomendisp@healthcare.com	0745417907	0732997904
90	OLD TOWN KADER BHOY DISP	COAST	MOMBASA	ISLAND	OLD TOWN	OLD T.(MAKADARA WARD	4	LA	-4.05783	39.674455	coldtownkaderbhoydisp@healthcare.com	0749013161	0774319749
91	PORT REITZ DISTRICT HOSPITAL	COAST	MOMBASA	CHANGAMWE	PORT REITZ	PORT REITZ	1	MOH	-4.039267	39.602867	cportreitzdistricthospital@healthcare.com	0771634055	0752862957
92	SHANZU HADIEK COLLEGE DISP	COAST	MOMBASA	KISAUNI	BAMBURI	SHANZU	4	LA	-3.976707	39.743165	cshanzuhadiekcollegedisp@healthcare.com	0789695546	0768070474
93	SHIKA ADABU DISP	COAST	MOMBASA	LIKONI	SHIKA ADABU	VIJIWENI	4	MOH	-4.11276	39.637669	cshikaadabudisp@healthcare.com	0763370484	0733707859
94	SHIMO LA TEWA DISP	COAST	MOMBASA	KISAUNI	BAMBURI	SHANZU	4	MOH	-3.956292	39.742418	cshimolatewadisp@healthcare.com	0769051717	0760613652
95	STATE HOUSE DISP	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	4	MOH	-4.071958	39.667547	cstatehousedisp@healthcare.com	0794956986	0798045867
96	STELLA MARIE DISP	COAST	MOMBASA	LIKONI	SHIKA ADABU	VIJIWENI	4	MISS	-4.117456	39.65792	cstellamariedisp@healthcare.com	0725428158	0741106902
97	TIMBWANI CONSOLATA SISTERS DISPENSARY	COAST	MOMBASA	LIKONI	LIKONI	TIMBWANI	4	MISS	-4.094899	39.657845	ctimbwaniconsolatasistersdispensary@healthcare.com	0760077440	0786296141
98	TUDOR HEALTH CENTRE	COAST	MOMBASA	ISLAND	TUDOR	TUDOR	3	MOH	-4.029273	39.661421	ctudorhealthcentre@healthcare.com	0737615926	0785274405
99	UKUMBUSHO CPK HOSP	COAST	MOMBASA	ISLAND	GANJONI	KIZINGO(MOMBASA)	1	MISS	-4.068035	39.68143	cukumbushocpkhosp@healthcare.com	0745399012	0781444281
100	UTANGE DISP	COAST	MOMBASA	KISAUNI	BAMBURI	MWEMBE LEGEZA	4	LA	-3.97	39.72	cutangedisp@healthcare.com	0713677205	0706852576
101	ANMER DISP	CENTRAL	KIAMBU	KIAMBAA	KAMITI	ANMER	4	MOH	-1.137387	36.84009	canmerdisp@healthcare.com	0787506318	0772467671
102	BATHI DISP	CENTRAL	KIAMBU	LARI	KIJABE	BATHI	4	MISS	-0.978523	36.6347	cbathidisp@healthcare.com	0709336217	0764023640
103	BIBIRIONI DISP	CENTRAL	KIAMBU	LIMURU	LIMURU	BIBIRIONI	4	MISS	-1.08108	36.6171	cbibirionidisp@healthcare.com	0715741319	0782460673
104	CHURA DISP	CENTRAL	KIAMBU	KIKUYU	KABETE	CHURA	4	MOH	-1.21635	36.6896	cchuradisp@healthcare.com	0757037371	0787882676
105	CIANDA DISP	CENTRAL	KIAMBU	KIAMBAA	CIANDA	CIANDA	4	MOH	-1.1328	36.7613	cciandadisp@healthcare.com	0770102543	0787775130
106	GACHOIRE DISP	CENTRAL	KIAMBU	LARI	NYANDUMA	GACHOIRE	4	MOH	-0.991187	36.7044	cgachoiredisp@healthcare.com	0750013958	0713550580
107	GATHANGA DISP	CENTRAL	KIAMBU	KIAMBAA	WAGUTHU	GATHANGA	4	MOH	-1.182312	36.791234	cgathangadisp@healthcare.com	0719110514	0710468842
108	GATHANGARI DISP	CENTRAL	KIAMBU	GITHUNGURI	GITHIGA	GITIHA	4	MOH	-1.06802	36.7054	cgathangaridisp@healthcare.com	0708122256	0773914459
109	GIATHIEKO DISP	CENTRAL	KIAMBU	GITHUNGURI	IKINU	RIUKI	4	MOH	-1.09883	36.8279	cgiathiekodisp@healthcare.com	0729394423	0784667142
110	GICHARANI DISP	CENTRAL	KIAMBU	KIKUYU	KARAI	GIKAMBURA	4	MISS	-1.27	36.65	cgicharanidisp@healthcare.com	0702704444	0718667392
111	GICHURU DISP	CENTRAL	KIAMBU	LIMURU	NGECHA	NGECHA	4	MOH	-1.16126	36.6689	cgichurudisp@healthcare.com	0743905362	0767641160
112	GITHIGA HEALTH CENTRE	CENTRAL	KIAMBU	GITHUNGURI	GITHIGA	MATUGUTA	3	MOH	-1.083	36.7462	cgithigahealthcentre@healthcare.com	0743087399	0700163602
113	GITHUNGURI HEALTH CENTRE	CENTRAL	KIAMBU	GITHUNGURI	GITHUNGURI	KANJAI	3	MOH	-1.05339	36.788	cgithungurihealthcentre@healthcare.com	0766633149	0785854019
114	GITIHA HEALTH CENTRE	CENTRAL	KIAMBU	GITHUNGURI	GITHIGA	GITIHA	3	MOH	-1.0742	36.6896	cgitihahealthcentre@healthcare.com	0717054151	0795747264
115	HOLY CROSS (THIGIO) DISP	CENTRAL	KIAMBU	LIMURU	NDEIYA	THIGIO(KIAMBU)	4	MISS	-1.196205	36.56731	cholycross(thigio)disp@healthcare.com	0781329138	0705099048
116	KAARIA DISP	CENTRAL	KIAMBU	KIAMBAA	NDUMBERI	NDUMBERI	4	MOH	-1.14234	36.801234	ckaariadisp@healthcare.com	0729103704	0732110445
117	KAGAA HEALTH CENTRE	CENTRAL	KIAMBU	GITHUNGURI	GITHUNGURI	GITHUNGURI(KIAMBU)	3	MOH	-1.05093	36.7467	ckagaahealthcentre@healthcare.com	0723160770	0780140087
118	KAGWE CATHOLIC MISSION DISP	CENTRAL	KIAMBU	LARI	GATAMAIYU	KAGWE	4	MISS	-1.001209	36.743433	ckagwecatholicmissiondisp@healthcare.com	0723719034	0729657624
119	KAGWE HEALTH CENTRE	CENTRAL	KIAMBU	LARI	GATAMAIYU	KAGWE	3	MOH	-1.00448	36.7392	ckagwehealthcentre@healthcare.com	0793902225	0743764240
120	KAMAE FOREST DISP	CENTRAL	KIAMBU	LARI	KINALE	KINALE	4	MOH	-0.870245	36.624	ckamaeforestdisp@healthcare.com	0704180234	0777882865
121	KAMBUI DISP	CENTRAL	KIAMBU	GITHUNGURI	NGEWA	NYAGA	4	MISS	-1.1	36.87	ckambuidisp@healthcare.com	0751968682	0716484966
122	KAMBURU DISP	CENTRAL	KIAMBU	LARI	KAMBURU	MATIMBEI	4	MOH	-1.01588	36.7082	ckamburudisp@healthcare.com	0731491434	0790795656
123	KARAI HEALTH CENTRE	CENTRAL	KIAMBU	KIKUYU	KARAI	NACHU	3	MOH	-1.28069	36.5765	ckaraihealthcentre@healthcare.com	0702411623	0767714197
124	KARIA DISP	CENTRAL	KIAMBU	KIAMBAA	WAGUTHU	NGEGU	4	MOH	-1.174213	36.82123	ckariadisp@healthcare.com	0791348781	0724169410
125	KARURA SDA DISP	CENTRAL	KIAMBU	KIAMBAA	KIHARA	GACHIE	4	MISS	-1.22	36.78	ckarurasdadisp@healthcare.com	0763303694	0706294377
126	KARURI HEALTH CENTRE	CENTRAL	KIAMBU	KIAMBAA	KIAMBAA	NJIKU	3	MOH	-1.18431	36.7399	ckarurihealthcentre@healthcare.com	0761188927	0783852639
127	KENTMERE DISP	CENTRAL	KIAMBU	LIMURU	KARAMBAINI	MABROUKE	4	MISS	-1.122966	36.658545	ckentmeredisp@healthcare.com	0743461058	0774895775
128	KIAMBAA DISP	CENTRAL	KIAMBU	KIAMBAA	KAMITI	ANMER	4	MOH	-1.13999	36.8456	ckiambaadisp@healthcare.com	0763460792	0731908475
129	KIAMBU DISTRICT HOSPITAL	CENTRAL	KIAMBU	KIAMBAA	KIAMBAA S/AREA	TOWNSHIP(KIAMBAA)	1	MOH	-1.16938	36.82993	ckiambudistricthospital@healthcare.com	0752198228	0728804394
130	KIAWAROGA DISP	CENTRAL	KIAMBU	LIMURU	KARAMBAINI	KIAWAROGA	4	MOH	-1.10046	36.702703	ckiawarogadisp@healthcare.com	0707409266	0740578237
131	KIBUBUTI HEALTH CENTRE	CENTRAL	KIAMBU	KIAMBAA	WAGUTHU	KANUNGA	3	MISS	-1.157365	36.783449	ckibubutihealthcentre@healthcare.com	0790117429	0787727077
132	KIENI FOREST DISP	CENTRAL	KIAMBU	LARI	KINALE	MUKEU(KIAMBU)	4	MOH	-0.921169	36.648379	ckieniforestdisp@healthcare.com	0759710514	0733956250
133	KIENI HEALTH CENTRE	CENTRAL	KIAMBU	LARI	KAMAE	KAMUKOMBI-INI	3	MOH	-0.858108	36.619369	ckienihealthcentre@healthcare.com	0776445793	0709911285
134	KIGUMO HEALTH CENTRE	CENTRAL	KIAMBU	GITHUNGURI	KOMOTHAI	KARATINA	3	MOH	-1.031082	36.82658	ckigumohealthcentre@healthcare.com	0736931288	0745085404
135	KIHARA HEALTH CENTRE	CENTRAL	KIAMBU	KIAMBAA	KIHARA	MAHINDI	3	MOH	-1.21091	36.7386	ckiharahealthcentre@healthcare.com	0734106342	0784418154
136	KIJABE HOSPITAL	CENTRAL	KIAMBU	LARI	KIJABE	KIJABE	1	MISS	-0.94349	36.59431	ckijabehospital@healthcare.com	0730486581	0748518231
137	KIMATHI DISP	CENTRAL	KIAMBU	GITHUNGURI	NGEWA	KIMATHI(KIAMBU)	4	MOH	-1.1077	36.8684	ckimathidisp@healthcare.com	0729812399	0710912434
138	KINALE FOREST DISP	CENTRAL	KIAMBU	LARI	KINALE	MUKEU(KIAMBU)	4	MOH	-0.911261	36.61036	ckinaleforestdisp@healthcare.com	0790842516	0772131080
139	KINALE HEALTH CENTRE	CENTRAL	KIAMBU	LARI	KINALE	MUKEU(KIAMBU)	3	MOH	-0.908237	36.6157	ckinalehealthcentre@healthcare.com	0799591519	0710767039
140	KIRATINA DISP	CENTRAL	KIAMBU	GITHUNGURI	KOMOTHAI	KARATINA	4	MOH	-1.03614	36.8203	ckiratinadisp@healthcare.com	0753267470	0759336133
141	KIRIITA DISP	CENTRAL	KIAMBU	LARI	GATAMAIYU	KAGWE	4	MOH	-0.985135	36.6964	ckiriitadisp@healthcare.com	0747169042	0720362045
142	KIRIITA MISSION HC	CENTRAL	KIAMBU	LARI	KIJABE	BATHI	3	MISS	-0.97	36.63	ckiriitamissionhc@healthcare.com	0756399885	0726327390
143	LARI HEALTH CENTRE	CENTRAL	KIAMBU	LARI	KIRENGA	ESCARPMENT	3	MOH	-1.02791	36.605	clarihealthcentre@healthcare.com	0795779932	0771738373
144	LIMURU HEALTH CENTRE	CENTRAL	KIAMBU	LIMURU	LIMURU	KAMIRITHU	3	MOH	-1.11593	36.6366	climuruhealthcentre@healthcare.com	0719014563	0716454034
145	LIOKI MISSION DISP	CENTRAL	KIAMBU	GITHUNGURI	IKINU	RIUKI	4	MISS	-1.102112	36.830408	cliokimissiondisp@healthcare.com	0785750024	0789608662
146	LITTLE SERVANT OF SACRET HEART DISP	CENTRAL	KIAMBU	KIAMBAA	KIAMBAA	NJORO(KIAMBU)	4	MISS	-1.192355	36.771525	clittleservantofsacretheartdisp@healthcare.com	0714180871	0793382565
147	UTANGE REFUGEE CAMP DISP	COAST	MOMBASA	KISAUNI	BAMBURI	MWEMBE LEGEZA	4	NGO	-3.979314	39.718534	cutangerefugeecampdisp@healthcare.com	0718426467	0782307628
148	WATAMU DISP	COAST	MOMBASA	LIKONI	MTONGWE	MTONGWE	4	MOH	-4.06546	39.6	cwatamudisp@healthcare.com	0735879823	0779844651
